               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.018414,            0.036772,           0.0080727,             0.91889,             0.96633,             0.98167,             0.81954,            0.013099,            0.019764,           0.0025742,            0.003961,            0.003961,            0.003961
                  63,            0.017627,            0.037056,           0.0081423,             0.91461,             0.96691,             0.98156,             0.78496,            0.011368,            0.020468,           0.0024959,            0.003862,            0.003862,            0.003862
                  64,            0.018256,            0.036411,           0.0074005,              0.9123,             0.95871,             0.97964,             0.77582,            0.015731,            0.020108,           0.0026298,            0.003763,            0.003763,            0.003763
                  65,            0.018679,            0.040724,           0.0078504,             0.92467,             0.95414,             0.98139,             0.80455,            0.010968,            0.019953,           0.0025176,            0.003664,            0.003664,            0.003664
                  66,            0.016267,            0.036589,           0.0070933,             0.92279,             0.96625,             0.98246,             0.72551,            0.012901,            0.020899,           0.0022651,            0.003565,            0.003565,            0.003565
                  67,            0.019183,            0.042669,           0.0089674,             0.93429,             0.95768,              0.9824,             0.80683,            0.010887,            0.019776,           0.0020984,            0.003466,            0.003466,            0.003466
                  68,            0.017108,            0.036945,           0.0075252,             0.94393,             0.96041,             0.98383,             0.82957,           0.0096481,            0.019487,           0.0020335,            0.003367,            0.003367,            0.003367
                  69,            0.016294,            0.037478,           0.0075032,             0.94303,             0.95321,              0.9827,             0.80742,            0.010972,            0.020054,           0.0019873,            0.003268,            0.003268,            0.003268
                  70,             0.01818,             0.03767,           0.0080211,             0.93786,             0.95529,              0.9826,             0.78541,            0.012219,            0.020124,            0.001822,            0.003169,            0.003169,            0.003169
                  71,            0.017084,            0.037196,           0.0066599,             0.94394,              0.9639,             0.98379,             0.76286,            0.011035,             0.01992,           0.0017759,             0.00307,             0.00307,             0.00307
                  72,            0.017242,            0.036477,           0.0067372,             0.94833,             0.96671,             0.98287,             0.81434,            0.012555,            0.019666,           0.0016721,            0.002971,            0.002971,            0.002971
